class_id,student_id,class_name,student_first,student_last,student_number
1,1,Algebra 1,Minna,Amigon,5003
1,2,Algebra 1,Abel,Maclead,5004
1,3,Algebra 1,Kiley,Caldarera,5005
1,4,Algebra 1,Graciela,Ruta,5006
1,5,Algebra 1,Cammy,Albares,5007
1,6,Algebra 1,Mattie,Poquette,5008
1,7,Algebra 1,Meaghan,Garufi,5009
1,8,Algebra 1,Gladys,Rim,5010
1,9,Algebra 1,Yuki,Whobrey,5011
1,10,Algebra 1,Fletcher,Flosi,5012
2,11,Algebra 2,Bette,Nicka,5013
2,12,Algebra 2,Veronika,Inouye,5014
2,13,Algebra 2,Willard,Kolmetz,5015
2,14,Algebra 2,Maryann,Royster,5016
2,15,Algebra 2,Alisha,Slusarski,5017
2,16,Algebra 2,Allene,Iturbide,5018
2,17,Algebra 2,Chanel,Caudy,5019
2,18,Algebra 2,Ezekiel,Chui,5020
2,19,Algebra 2,Willow,Kusko,5021
2,20,Algebra 2,Bernardo,Figeroa,5022
3,1,US History,Minna,Amigon,5003
3,2,US History,Abel,Maclead,5004
3,3,US History,Kiley,Caldarera,5005
3,4,US History,Graciela,Ruta,5006
3,5,US History,Cammy,Albares,5007
3,6,US History,Mattie,Poquette,5008
3,7,US History,Meaghan,Garufi,5009
3,8,US History,Gladys,Rim,5010
3,9,US History,Yuki,Whobrey,5011
3,10,US History,Fletcher,Flosi,5012
4,11,Psychology,Bette,Nicka,5013
4,12,Psychology,Veronika,Inouye,5014
4,13,Psychology,Willard,Kolmetz,5015
4,14,Psychology,Maryann,Royster,5016
4,15,Psychology,Alisha,Slusarski,5017
4,16,Psychology,Allene,Iturbide,5018
4,17,Psychology,Chanel,Caudy,5019
4,18,Psychology,Ezekiel,Chui,5020
4,19,Psychology,Willow,Kusko,5021
4,20,Psychology,Bernardo,Figeroa,5022
5,1,English 1,Minna,Amigon,5003
5,2,English 1,Abel,Maclead,5004
5,3,English 1,Kiley,Caldarera,5005
5,4,English 1,Graciela,Ruta,5006
5,5,English 1,Cammy,Albares,5007
5,6,English 1,Mattie,Poquette,5008
5,7,English 1,Meaghan,Garufi,5009
5,8,English 1,Gladys,Rim,5010
5,9,English 1,Yuki,Whobrey,5011
5,10,English 1,Fletcher,Flosi,5012
6,11,English 2,Bette,Nicka,5013
6,12,English 2,Veronika,Inouye,5014
6,13,English 2,Willard,Kolmetz,5015
6,14,English 2,Maryann,Royster,5016
6,15,English 2,Alisha,Slusarski,5017
6,16,English 2,Allene,Iturbide,5018
6,17,English 2,Chanel,Caudy,5019
6,18,English 2,Ezekiel,Chui,5020
6,19,English 2,Willow,Kusko,5021
6,20,English 2,Bernardo,Figeroa,5022
