first_name	last_name	student_number	unique_id	grade	primary_contact_first_name	primary_contact_last_name	primary_contact_phone	primary_contact_email
Minna	Amigon	5003	Amigon5003	10th	Jose	Amigon	504-621-8927	minna_amigon@yahoo.com
Abel	Maclead	5004	Maclead5004	11th	Rozella	Maclead	810-292-9388	amaclead@gmail.com
Kiley	Caldarera	5005	Caldarera5005	10th	Valentine	Caldarera	856-636-8749	kiley.caldarera@aol.com
Graciela	Ruta	5006	Ruta5006	11th	Kati	Ruta	907-385-4412	gruta@cox.net
Cammy	Albares	5007	Albares5007	9th	Youlanda	Albares	513-570-1893	calbares@gmail.com
Mattie	Poquette	5008	Poquette5008	9th	Dyan	Poquette	419-503-2484	mattie@aol.com
Meaghan	Garufi	5009	Garufi5009	9th	Roxane	Garufi	773-573-6914	meaghan@hotmail.com
Gladys	Rim	5010	Rim5010	11th	Lavera	Rim	408-752-3500	gladys.rim@rim.org
Yuki	Whobrey	5011	Whobrey5011	10th	Erick	Whobrey	605-414-2147	yuki_whobrey@aol.com
Fletcher	Flosi	5012	Flosi5012	10th	Fatima	Flosi	410-655-8723	fletcher.flosi@yahoo.com
Bette	Nicka	5013	Nicka5013	11th	Jina	Nicka	215-874-1229	bette_nicka@cox.net
Veronika	Inouye	5014	Inouye5014	10th	Kanisha	Inouye	631-335-3414	vinouye@aol.com
Willard	Kolmetz	5015	Kolmetz5015	11th	Emerson	Kolmetz	310-498-5651	willard@hotmail.com
Maryann	Royster	5016	Royster5016	11th	Blair	Royster	440-780-8425	mroyster@royster.com
Alisha	Slusarski	5017	Slusarski5017	9th	Brock	Slusarski	956-537-6195	alisha@slusarski.com
Allene	Iturbide	5018	Iturbide5018	10th	Lorrie	Iturbide	602-277-4385	allene_iturbide@cox.net
Chanel	Caudy	5019	Caudy5019	10th	Sabra	Caudy	931-313-9635	chanel.caudy@caudy.org
Ezekiel	Chui	5020	Chui5020	11th	Marjory	Chui	414-661-9598	ezekiel@chui.com
Willow	Kusko	5021	Kusko5021	10th	Karl	Kusko	313-288-7937	wkusko@yahoo.com
Bernardo	Figeroa	5022	Figeroa5022	9th	Tonette	Figeroa	815-828-2147	bfigeroa@aol.com
